id,Day,# of orders,Month
1,3,2,Oct
2,4,1,Oct
3,5,1,Oct
4,6,5,Oct
5,7,3,Oct
6,11,3,Oct
7,12,1,Oct
8,13,3,Oct
9,14,4,Oct
10,18,1,Oct
11,19,2,Oct
12,20,3,Oct
13,21,6,Oct
14,24,3,Oct
15,25,3,Oct
16,26,2,Oct
17,27,6,Oct
18,28,5,Oct
19,2,1,Nov
20,3,1,Nov
21,4,4,Nov
22,7,1,Nov
23,8,5,Nov
24,9,3,Nov
25,10,3,Nov
26,11,2,Nov
27,14,8,Nov
28,15,1,Nov
29,16,5,Nov
30,17,5,Nov
31,18,7,Nov
32,20,1,Nov
33,21,6,Nov
34,22,4,Nov
35,23,7,Nov
36,24,4,Nov
37,25,7,Nov
38,28,2,Nov
39,29,1,Nov
40,30,10,Nov
41,1,1,Dec
42,2,4,Dec
43,5,5,Dec
44,6,1,Dec
45,7,7,Dec
46,8,8,Dec
47,9,6,Dec
48,12,5,Dec
49,13,7,Dec
50,14,7,Dec
51,15,14,Dec
52,16,14,Dec
53,19,11,Dec
54,20,11,Dec
55,21,19,Dec
56,22,18,Dec
57,23,29,Dec
58,26,4,Dec
59,27,10,Dec
60,28,21,Dec
61,29,35,Dec
62,30,35,Dec
