id,input_size,running_time_ms,sorting_algorithm
1,100,0.998,Bubble Sort
2,250,5.131,Bubble Sort
3,500,27.032,Bubble Sort
4,750,71.799,Bubble Sort
5,1000,127.16,Bubble Sort
6,1250,174.734,Bubble Sort
7,2500,872.462,Bubble Sort
8,3750,1735.857,Bubble Sort
9,5000,2957.692,Bubble Sort
10,6250,5154.942,Bubble Sort
11,7500,6934.059,Bubble Sort
12,8750,13077.539,Bubble Sort
13,10000,15288.002,Bubble Sort
14,100,24.037,Radix Sort
15,250,51.565,Radix Sort
16,500,132.738,Radix Sort
17,750,205.06,Radix Sort
18,1000,266.58,Radix Sort
19,1250,287.437,Radix Sort
20,2500,717.585,Radix Sort
21,3750,944.076,Radix Sort
22,5000,1209.667,Radix Sort
23,6250,1927.24,Radix Sort
24,7500,1950.879,Radix Sort
25,8750,3231.046,Radix Sort
26,10000,3340.284,Radix Sort
27,100,0.299,Merge Sort
28,250,0.698,Merge Sort
29,500,2.097,Merge Sort
30,750,3.299,Merge Sort
31,1000,3.697,Merge Sort
32,1250,4.378,Merge Sort
33,2500,10.869,Merge Sort
34,3750,16.06,Merge Sort
35,5000,20.345,Merge Sort
36,6250,36.206,Merge Sort
37,7500,37.201,Merge Sort
38,8750,46.877,Merge Sort
39,10000,72.606,Merge Sort
40,100,0.299,IntroSort
41,250,0.998,IntroSort
42,500,1.496,IntroSort
43,750,2.984,IntroSort
44,1000,3.49,IntroSort
45,1250,4.19,IntroSort
46,2500,12.275,IntroSort
47,3750,14.752,IntroSort
48,5000,19.444,IntroSort
49,6250,26.428,IntroSort
50,7500,32.309,IntroSort
51,8750,45.28,IntroSort
52,10000,70.701,IntroSort
53,100,0.1,TimSort
54,250,0,TimSort
55,500,0.1,TimSort
56,750,0,TimSort
57,1000,0.1,TimSort
58,1250,0.1,TimSort
59,2500,0.397,TimSort
60,3750,0.502,TimSort
61,5000,0.798,TimSort
62,6250,1.196,TimSort
63,7500,1.098,TimSort
64,8750,1.496,TimSort
65,10000,1.797,TimSort
